"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"ID1" 2.22904706130772e-251 1.25616581338059 0.555 0.067 7.47288027303415e-247 "0" "ID1"
"RPS29" 6.11677118525919e-251 -0.685585930997874 0.981 0.988 2.05064753985814e-246 "0" "RPS29"
"ATF3" 1.98242222184236e-249 1.28694519991714 0.776 0.348 6.64607049872651e-245 "0" "ATF3"
"RPL11" 1.75203684448145e-244 -0.779333180016549 0.966 0.981 5.87370352112405e-240 "0" "RPL11"
"SOX9" 2.64608743341464e-244 1.09367696339171 0.741 0.267 8.87100812052258e-240 "0" "SOX9"
"DDAH1" 7.04417946360946e-244 1.00318960622027 0.615 0.135 2.36156116517507e-239 "0" "DDAH1"
"RTN3" 3.41944661165964e-243 0.803294934918361 0.911 0.537 1.14636947655889e-238 "0" "RTN3"
"CKB" 3.43425687733524e-243 0.907700066310117 0.965 0.748 1.15133461812664e-238 "0" "CKB"
"TMEM233" 5.81398873844244e-243 -1.11510790336916 0.059 0.347 1.94913972456283e-238 "0" "TMEM233"
"RPS27A" 6.22883241656185e-243 -0.67744756790863 0.983 0.991 2.08821606765236e-238 "0" "RPS27A"
"CD63" 4.40012338743793e-242 -0.791679091603887 0.99 0.983 1.47514136563857e-237 "0" "CD63"
"MARCKSL1" 6.0160189324803e-242 0.86983411095522 0.957 0.778 2.01687034711402e-237 "0" "MARCKSL1"
"RPL18A" 7.35202443339152e-242 -0.768681327337046 0.962 0.983 2.46476619129451e-237 "0" "RPL18A"
"MYL9" 5.77821620524993e-241 -1.05325880071653 0.122 0.453 1.93714698281004e-236 "0" "MYL9"
"SERPIND1" 7.10611241569435e-241 -0.510959946477104 0.002 0.182 2.38232418736153e-236 "0" "SERPIND1"
"SERPING1" 2.26315778081936e-240 -1.25426066574703 0.705 0.856 7.58723646019689e-236 "0" "SERPING1"
"SDC2" 1.08049572164829e-239 -1.14831392241683 0.865 0.935 3.62236190682588e-235 "0" "SDC2"
"RPL35" 1.55899744067064e-239 -0.655810180181887 0.967 0.987 5.22653891984831e-235 "0" "RPL35"
"LY6E" 7.55988837988622e-239 -1.21462166298848 0.416 0.717 2.53445257935686e-234 "0" "LY6E"
"TIPARP" 1.03312606019512e-238 1.11631479273704 0.683 0.219 3.46355511680413e-234 "0" "TIPARP"
"VKORC1" 3.2439720707061e-237 -1.3883806555132 0.445 0.728 1.08754163670422e-232 "0" "VKORC1"
"TMEM47" 4.58251764256069e-237 0.99659065956192 0.792 0.354 1.53628903966847e-232 "0" "TMEM47"
"KCNJ16" 6.94025559442166e-236 1.23791640385218 0.474 0.015 2.32672068802986e-231 "0" "KCNJ16"
"MAFF" 1.06865766531026e-235 1.26425476951286 0.853 0.526 3.58267482295263e-231 "0" "MAFF"
"CXCL3" 2.19193859005694e-234 2.16746455980313 0.737 0.31 7.3484741231659e-230 "0" "CXCL3"
"S100A6" 8.47886400396803e-234 -1.09964971161762 0.927 0.935 2.84253915733028e-229 "0" "S100A6"
"CSRNP1" 3.49497010759743e-232 1.03825603356169 0.661 0.193 1.17168872857204e-227 "0" "CSRNP1"
"MYL6" 5.65483688920983e-232 -0.662197912208701 0.981 0.991 1.8957840671076e-227 "0" "MYL6"
"OSTC" 4.13723401156962e-229 -1.08443100639332 0.597 0.823 1.38700770237871e-224 "0" "OSTC"
"IDI1" 8.71779269006232e-229 1.23041355749598 0.879 0.567 2.92263999934339e-224 "0" "IDI1"
"CYR61" 2.37185661345202e-228 1.06171723893195 0.892 0.473 7.9516492965979e-224 "0" "CYR61"
"PLPP3" 3.80428658022202e-227 0.975073461079711 0.57 0.099 1.27538707601943e-222 "0" "PLPP3"
"CD99" 1.79003063735662e-226 0.8450166599484 0.967 0.818 6.00107771173808e-222 "0" "CD99"
"ARID5B" 2.31483335131709e-225 -1.35788155746536 0.384 0.759 7.76047881029056e-221 "0" "ARID5B"
"MRAP2" 7.05571019601661e-225 -0.731290702363255 0.036 0.283 2.36542684321457e-220 "0" "MRAP2"
"SLC4A4" 1.17458228765123e-223 1.06626814453612 0.472 0.027 3.93778711935074e-219 "0" "SLC4A4"
"YWHAE" 3.28717749667212e-223 0.65866822332381 0.986 0.951 1.10202625575933e-218 "0" "YWHAE"
"PAM" 4.911821425986e-223 -1.26185719944122 0.455 0.719 1.64668813306181e-218 "0" "PAM"
"ARL6IP1" 1.72096780616248e-222 0.647425495542647 0.979 0.862 5.7695445701597e-218 "0" "ARL6IP1"
"GRM3" 3.81222188848635e-221 0.979523483649259 0.472 0.027 1.27804738811505e-216 "0" "GRM3"
"IFI16" 7.40498415693964e-221 -0.935617786472685 0.097 0.403 2.48252093861401e-216 "0" "IFI16"
"NTRK2" 1.53305331315975e-219 0.854882958294347 0.98 0.75 5.13956123236807e-215 "0" "NTRK2"
"ARPC1B" 2.4566952749225e-219 -0.742709933617677 0.051 0.313 8.23607090917769e-215 "0" "ARPC1B"
"OCIAD2" 2.42358221203391e-218 -1.09463693625199 0.077 0.36 8.12505936584368e-214 "0" "OCIAD2"
"NKAIN4" 4.48182672957322e-217 1.02761919767789 0.575 0.117 1.50253241108942e-212 "0" "NKAIN4"
"RAMP2" 6.91077176015091e-217 -1.2841170405601 0.356 0.662 2.31683623259059e-212 "0" "RAMP2"
"PFDN5" 1.11881940764482e-216 -0.746897694035583 0.915 0.97 3.75084206412927e-212 "0" "PFDN5"
"RPL14" 1.24496541336476e-216 -0.810414262829239 0.883 0.948 4.17374654830537e-212 "0" "RPL14"
"PSAP" 8.19516135798077e-216 0.758274988296678 0.985 0.918 2.74742784526305e-211 "0" "PSAP"
"GATM" 3.61156723040109e-215 0.974519720297839 0.512 0.068 1.21077791399196e-210 "0" "GATM"
"KCNE5" 8.81020504624995e-215 1.33246615806646 0.463 0.033 2.9536212417553e-210 "0" "KCNE5"
"RPS19" 9.47208115546393e-215 -0.662862811381329 0.983 0.989 3.17551520736928e-210 "0" "RPS19"
"EMC2" 1.87388839134284e-214 0.9008947142842 0.845 0.498 6.28221083197689e-210 "0" "EMC2"
"ACTG2" 4.4627112490273e-214 -0.677439111221538 0.004 0.171 1.4961239462364e-209 "0" "ACTG2"
"SPAG16" 1.38023185655412e-213 0.945306902917061 0.814 0.436 4.62722729909769e-209 "0" "SPAG16"
"CNN3" 1.89844571826227e-213 0.682194089542777 0.99 0.933 6.36453927047426e-209 "0" "CNN3"
"PIGT" 3.38092481522948e-213 -1.1797296386599 0.303 0.615 1.13345504430568e-208 "0" "PIGT"
"ATP1A2" 1.56708512607518e-212 1.0053703922371 0.71 0.26 5.25365288516703e-208 "0" "ATP1A2"
"SNHG9" 6.94725710808939e-212 1.02397633795121 0.844 0.489 2.32906794548697e-207 "0" "SNHG9"
"DUSP1" 1.56208444880474e-211 1.34468135704408 0.783 0.402 5.23688811461788e-207 "0" "DUSP1"
"SYCE1L" 8.15143004009167e-211 -0.633345325079095 0.033 0.265 2.73276692094073e-206 "0" "SYCE1L"
"MT1X" 4.66711762592598e-210 2.12264876932378 0.881 0.6 1.56465118409168e-205 "0" "MT1X"
"GPRC5B" 1.37807288537976e-209 0.99929796496511 0.703 0.263 4.61998934823564e-205 "0" "GPRC5B"
"GCSH" 2.00253666255747e-209 0.859716918407864 0.856 0.546 6.71350416122392e-205 "0" "GCSH"
"CAV2" 5.72158286125775e-209 -0.606093582106438 0.022 0.233 1.91816065423666e-204 "0" "CAV2"
"PPDPF" 1.98392614480304e-208 -0.847933146990153 0.855 0.936 6.65111240045219e-204 "0" "PPDPF"
"TMEM258" 2.62958403012421e-206 -0.75687084748879 0.908 0.953 8.81568046099142e-202 "0" "TMEM258"
"FBXO2" 3.39296343231608e-206 0.899759878105755 0.869 0.551 1.13749099068397e-201 "0" "FBXO2"
"RPL37" 2.79609466923555e-205 -0.793661411935566 0.905 0.961 9.37390737861218e-201 "0" "RPL37"
"RAMP1" 3.41920889659117e-205 0.846642950930167 0.802 0.367 1.14628978258219e-200 "0" "RAMP1"
"TMEFF2" 1.18695180206309e-204 -0.533164654662734 0.007 0.179 3.9792559164165e-200 "0" "TMEFF2"
"NFIA" 9.11318239631409e-204 0.867428178486903 0.899 0.603 3.0551943983643e-199 "0" "NFIA"
"FABP7" 1.0583154529205e-203 1.16036875876974 0.669 0.229 3.54800255591599e-199 "0" "FABP7"
"F13A1" 1.07814782419227e-203 -0.755640965491021 0.002 0.154 3.61449058060457e-199 "0" "F13A1"
"PTN" 1.2748998040689e-203 -1.48519071695032 0.929 0.918 4.274101593141e-199 "0" "PTN"
"RPL13A" 1.36201016260674e-203 -0.603684598829656 0.99 0.991 4.5661390701391e-199 "0" "RPL13A"
"CLEC11A" 5.5222359662754e-203 -1.36407371869524 0.364 0.66 1.85132960769383e-198 "0" "CLEC11A"
"SRI" 6.81204463086391e-203 0.746600404018182 0.961 0.843 2.28373796249712e-198 "0" "SRI"
"TNFRSF21" 1.36072178327151e-202 -1.09722588863958 0.344 0.685 4.56181977841772e-198 "0" "TNFRSF21"
"TMBIM6" 2.34757082771683e-202 0.712835497743368 0.968 0.846 7.87023119992068e-198 "0" "TMBIM6"
"SELENOM" 5.36103958943421e-201 -0.680775507927907 0.969 0.976 1.79728852235782e-196 "0" "SELENOM"
"DDIT4" 5.60674833955666e-201 1.16828147743251 0.532 0.107 1.87966238083637e-196 "0" "DDIT4"
